ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Furnished_Status,Floor_No,Total_Floors,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Good_Investment,Property_Age
51148,Delhi,New Delhi,Locality_134,Independent House,3,1667,391.69,23496.700659868027,Furnished,17,1,1,5,High,No,No,"Garden, Clubhouse, Gym",West,Broker,Ready_to_Move,0,33
224149,Haryana,Gurgaon,Locality_334,Apartment,1,1295,228.05,17610.03861003861,Furnished,28,14,7,3,Medium,Yes,No,"Garden, Playground, Gym, Clubhouse",West,Broker,Under_Construction,0,9
30596,Tamil Nadu,Chennai,Locality_497,Independent House,4,1674,63.9,3817.2043010752686,Unfurnished,29,2,7,4,Low,Yes,No,"Gym, Pool, Playground, Garden, Clubhouse",North,Owner,Under_Construction,1,19
169560,Punjab,Ludhiana,Locality_200,Villa,2,3402,190.63,5603.468547912992,Semi-furnished,30,22,2,5,Low,No,Yes,"Clubhouse, Garden",South,Broker,Ready_to_Move,1,5
113615,Assam,Silchar,Locality_471,Villa,3,818,244.59,29900.977995110024,Unfurnished,26,29,2,10,High,No,No,"Pool, Garden, Clubhouse, Gym, Playground",North,Broker,Ready_to_Move,0,4
81669,Uttar Pradesh,Noida,Locality_111,Apartment,3,3822,377.48,9876.504447933019,Furnished,0,15,6,1,Medium,Yes,No,"Garden, Clubhouse",South,Owner,Under_Construction,1,5
149414,Punjab,Amritsar,Locality_37,Independent House,3,2727,330.28,12111.47781444811,Unfurnished,28,14,7,4,Medium,Yes,No,"Clubhouse, Playground, Garden, Pool, Gym",South,Builder,Ready_to_Move,0,25
113665,Haryana,Gurgaon,Locality_489,Independent House,1,2325,190.58,8196.989247311827,Furnished,25,13,8,10,Low,No,No,Playground,West,Owner,Under_Construction,1,32
89858,Uttar Pradesh,Lucknow,Locality_21,Villa,5,3892,257.39,6613.309352517986,Furnished,12,15,5,1,Low,Yes,No,"Gym, Clubhouse, Playground, Pool, Garden",West,Builder,Under_Construction,1,13
247957,Karnataka,Bangalore,Locality_269,Independent House,4,1445,327.89,22691.349480968856,Unfurnished,5,21,4,8,Low,Yes,No,"Garden, Gym, Playground, Clubhouse",West,Owner,Ready_to_Move,0,27
225198,Karnataka,Mangalore,Locality_150,Apartment,4,1217,199.55,16396.87756778965,Furnished,21,17,7,5,Medium,No,No,"Playground, Garden, Pool",South,Broker,Under_Construction,0,35
172450,Uttar Pradesh,Lucknow,Locality_186,Independent House,4,2600,274.25,10548.076923076924,Semi-furnished,17,28,10,1,Low,Yes,No,Gym,West,Broker,Under_Construction,0,3
32723,Tamil Nadu,Coimbatore,Locality_161,Villa,5,1719,459.42,26726.003490401396,Furnished,6,3,7,6,High,No,No,"Pool, Gym, Garden, Clubhouse",North,Broker,Under_Construction,0,23
145579,Tamil Nadu,Chennai,Locality_440,Independent House,2,3109,101.01,3248.954647796719,Semi-furnished,9,25,10,2,Medium,No,Yes,"Gym, Garden, Pool",South,Builder,Under_Construction,1,11
204201,Gujarat,Ahmedabad,Locality_181,Apartment,5,4679,445.69,9525.325924342807,Unfurnished,8,14,9,10,Medium,No,Yes,"Garden, Pool, Clubhouse",East,Builder,Ready_to_Move,0,18
102038,Odisha,Cuttack,Locality_266,Apartment,4,1158,92.98,8029.360967184802,Unfurnished,1,8,8,10,High,Yes,No,"Clubhouse, Gym, Playground, Garden, Pool",East,Owner,Ready_to_Move,1,24
202779,Delhi,New Delhi,Locality_369,Independent House,4,2458,293.19,11927.990235964198,Unfurnished,23,5,5,2,High,No,No,Playground,West,Builder,Ready_to_Move,0,35
12784,Uttarakhand,Haridwar,Locality_161,Villa,3,2183,372.92,17082.913421896472,Unfurnished,12,21,6,1,Medium,No,Yes,Gym,South,Owner,Under_Construction,0,35
169086,Uttarakhand,Dehradun,Locality_474,Independent House,4,1853,374.67,20219.643820831086,Semi-furnished,24,27,6,5,High,Yes,No,"Clubhouse, Playground, Garden, Pool",East,Builder,Under_Construction,0,15
78302,Bihar,Gaya,Locality_20,Apartment,5,3406,438.84,12884.321785085143,Unfurnished,13,25,1,6,High,Yes,No,"Gym, Garden, Pool, Clubhouse, Playground",South,Broker,Under_Construction,0,13
1390,Punjab,Ludhiana,Locality_76,Independent House,5,3933,43.84,1114.6707348080345,Semi-furnished,27,13,1,5,Low,Yes,No,"Gym, Garden, Pool",West,Owner,Ready_to_Move,1,27
188967,Rajasthan,Jodhpur,Locality_11,Apartment,4,4745,16.66,351.1064278187566,Semi-furnished,23,15,4,10,Medium,No,Yes,"Garden, Gym",West,Owner,Under_Construction,1,23
93081,Gujarat,Ahmedabad,Locality_385,Independent House,2,3621,18.29,505.1090858878763,Furnished,23,29,2,3,High,Yes,Yes,"Pool, Clubhouse, Playground",East,Builder,Ready_to_Move,1,34
100340,Delhi,New Delhi,Locality_261,Villa,1,2196,315.58,14370.673952641166,Unfurnished,10,17,4,1,Low,No,No,"Playground, Gym",North,Owner,Under_Construction,0,27
125878,Haryana,Faridabad,Locality_15,Independent House,5,4087,128.65,3147.785661854661,Semi-furnished,7,5,5,6,Medium,Yes,Yes,"Garden, Gym, Pool, Playground, Clubhouse",West,Builder,Under_Construction,1,22
98205,Andhra Pradesh,Vijayawada,Locality_219,Independent House,5,2228,251.67,11295.780969479354,Unfurnished,15,30,9,10,Medium,No,Yes,"Clubhouse, Pool, Playground, Garden, Gym",South,Builder,Under_Construction,0,32
176074,Haryana,Gurgaon,Locality_380,Apartment,4,3814,440.51,11549.816465652857,Furnished,12,1,9,2,High,Yes,Yes,"Playground, Clubhouse",East,Broker,Ready_to_Move,0,11
137227,Chhattisgarh,Bilaspur,Locality_424,Apartment,2,1569,147.48,9399.61759082218,Unfurnished,20,30,10,2,Medium,No,No,Garden,South,Owner,Ready_to_Move,1,3
108038,Assam,Silchar,Locality_435,Independent House,5,4743,174.23,3673.413451402066,Unfurnished,7,3,7,6,Medium,No,Yes,"Clubhouse, Garden, Gym",West,Owner,Ready_to_Move,1,34
61509,Andhra Pradesh,Vijayawada,Locality_470,Apartment,5,4981,126.09,2531.419393696045,Semi-furnished,7,4,7,7,Medium,No,No,"Clubhouse, Gym, Playground, Garden, Pool",South,Broker,Ready_to_Move,1,7
9447,Rajasthan,Jaipur,Locality_298,Villa,1,4300,497.7,11574.418604651162,Unfurnished,18,18,4,1,High,Yes,No,Gym,North,Owner,Ready_to_Move,0,34
34912,Jharkhand,Ranchi,Locality_108,Independent House,1,2039,15.58,764.1000490436488,Furnished,2,6,6,8,High,Yes,No,"Playground, Clubhouse, Garden, Pool, Gym",West,Builder,Under_Construction,1,27
207631,Gujarat,Surat,Locality_148,Apartment,4,2569,482.99,18800.700661736086,Furnished,4,18,10,8,Medium,No,Yes,"Playground, Pool, Gym",North,Owner,Under_Construction,0,10
126756,Gujarat,Surat,Locality_445,Apartment,2,4652,145.58,3129.4067067927776,Unfurnished,25,11,2,1,Medium,Yes,Yes,"Pool, Playground, Clubhouse",South,Owner,Ready_to_Move,1,5
161132,West Bengal,Durgapur,Locality_302,Independent House,3,2999,319.18,10642.880960320106,Unfurnished,27,28,4,8,High,No,Yes,"Pool, Gym, Playground",South,Builder,Ready_to_Move,0,12
227169,Assam,Guwahati,Locality_206,Independent House,3,2248,111.41,4955.9608540925265,Semi-furnished,7,4,3,8,High,No,No,"Clubhouse, Gym",West,Owner,Under_Construction,1,7
100249,Punjab,Ludhiana,Locality_414,Villa,5,3431,144.23,4203.730690760711,Furnished,21,3,8,1,Medium,Yes,Yes,Playground,East,Builder,Ready_to_Move,1,28
74336,Jharkhand,Ranchi,Locality_61,Villa,2,4444,338.57,7618.586858685869,Furnished,23,20,2,2,Low,Yes,Yes,"Garden, Playground, Gym, Clubhouse, Pool",North,Builder,Under_Construction,1,31
93871,Punjab,Amritsar,Locality_468,Villa,4,1941,38.86,2002.060793405461,Semi-furnished,12,21,10,5,Low,No,No,"Clubhouse, Gym, Garden",West,Owner,Under_Construction,1,19
127354,Uttarakhand,Haridwar,Locality_493,Apartment,3,1683,447.19,26571.004159239452,Unfurnished,14,21,3,5,Low,No,Yes,"Pool, Clubhouse, Garden, Playground, Gym",East,Owner,Ready_to_Move,0,31
26958,Bihar,Gaya,Locality_360,Independent House,3,3908,50.78,1299.3858751279427,Furnished,25,27,1,4,Medium,Yes,Yes,Gym,South,Owner,Under_Construction,1,19
183994,Bihar,Gaya,Locality_71,Independent House,4,2363,117.19,4959.373677528565,Furnished,16,23,3,8,High,No,No,"Garden, Pool, Playground",North,Broker,Ready_to_Move,1,8
63879,Uttarakhand,Dehradun,Locality_493,Villa,2,3316,335.38,10113.992762364294,Semi-furnished,20,24,5,8,Low,Yes,Yes,"Clubhouse, Garden, Gym, Pool",North,Owner,Ready_to_Move,1,2
155273,Tamil Nadu,Chennai,Locality_317,Apartment,3,3022,229.6,7597.617471872932,Furnished,25,7,10,10,High,No,Yes,"Garden, Pool, Playground, Clubhouse",West,Builder,Under_Construction,1,12
134762,Punjab,Ludhiana,Locality_253,Independent House,2,3442,452.07,13133.933759442185,Furnished,1,29,3,2,Medium,No,Yes,Gym,South,Broker,Under_Construction,0,13
25544,Rajasthan,Jaipur,Locality_173,Villa,4,3073,332.44,10818.093068662545,Semi-furnished,2,6,1,4,Low,No,Yes,"Gym, Clubhouse, Pool",South,Builder,Ready_to_Move,0,14
117880,Odisha,Bhubaneswar,Locality_24,Villa,2,2246,299.19,13321.015138023153,Semi-furnished,3,18,1,8,Medium,Yes,No,"Gym, Pool, Clubhouse",East,Builder,Ready_to_Move,0,9
246367,Karnataka,Mysore,Locality_424,Apartment,2,4464,294.94,6607.078853046595,Semi-furnished,8,28,8,5,High,No,No,"Gym, Garden",North,Owner,Under_Construction,1,7
96447,Jharkhand,Ranchi,Locality_106,Apartment,5,1016,16.74,1647.6377952755904,Semi-furnished,22,8,4,4,Medium,Yes,No,Playground,South,Owner,Ready_to_Move,1,3
108346,West Bengal,Kolkata,Locality_406,Independent House,3,2200,141.41,6427.727272727273,Unfurnished,2,7,4,4,Medium,Yes,Yes,"Clubhouse, Pool, Gym",South,Broker,Ready_to_Move,1,3
13649,Tamil Nadu,Chennai,Locality_122,Independent House,2,2392,287.93,12037.207357859532,Furnished,15,15,4,5,Low,No,No,"Clubhouse, Playground, Pool",South,Owner,Ready_to_Move,0,23
92445,Chhattisgarh,Bilaspur,Locality_268,Villa,3,1738,22.77,1310.126582278481,Unfurnished,10,15,10,2,Low,Yes,No,"Gym, Playground, Garden, Clubhouse",East,Builder,Ready_to_Move,1,31
190974,Jharkhand,Jamshedpur,Locality_124,Apartment,1,4738,362.77,7656.606162937948,Semi-furnished,26,11,5,5,Medium,No,Yes,"Gym, Pool",South,Builder,Under_Construction,1,22
165060,Telangana,Warangal,Locality_441,Apartment,4,1740,262.38,15079.310344827587,Unfurnished,8,30,7,8,High,No,No,Garden,East,Broker,Under_Construction,0,9
34424,Delhi,Dwarka,Locality_279,Apartment,3,3359,120.99,3601.964870497172,Semi-furnished,2,10,8,1,Low,No,Yes,Garden,East,Builder,Ready_to_Move,1,19
199142,Kerala,Trivandrum,Locality_256,Independent House,3,4592,286.77,6244.991289198606,Semi-furnished,28,19,10,9,Medium,No,Yes,"Playground, Garden, Gym, Clubhouse",East,Broker,Under_Construction,1,15
229245,Tamil Nadu,Coimbatore,Locality_499,Villa,2,4695,150.12,3197.444089456869,Furnished,30,27,2,4,Low,Yes,Yes,"Gym, Playground",South,Builder,Under_Construction,1,13
228254,Assam,Guwahati,Locality_4,Apartment,1,4193,372.58,8885.76198425948,Unfurnished,24,20,4,6,High,Yes,No,"Garden, Gym, Pool, Clubhouse, Playground",West,Owner,Under_Construction,1,33
81610,Uttarakhand,Dehradun,Locality_495,Independent House,1,652,182.84,28042.944785276075,Unfurnished,14,23,3,4,Medium,Yes,No,"Pool, Playground",South,Broker,Under_Construction,0,14
214190,Rajasthan,Jodhpur,Locality_378,Independent House,1,4076,376.23,9230.37291462218,Unfurnished,4,17,9,4,High,No,No,"Gym, Clubhouse, Playground, Pool",North,Owner,Ready_to_Move,1,21
179229,Kerala,Kochi,Locality_212,Apartment,1,4614,62.34,1351.1053315994798,Furnished,16,8,3,10,High,Yes,Yes,"Playground, Garden, Gym, Pool, Clubhouse",West,Broker,Ready_to_Move,1,25
152694,Haryana,Gurgaon,Locality_405,Apartment,4,3975,308.44,7759.496855345912,Furnished,2,3,4,3,Low,Yes,Yes,"Garden, Playground",West,Owner,Ready_to_Move,1,27
163785,Kerala,Kochi,Locality_103,Villa,3,1570,379.05,24143.31210191083,Semi-furnished,20,10,6,3,High,Yes,No,"Playground, Clubhouse, Gym, Garden, Pool",West,Broker,Under_Construction,0,17
195107,Madhya Pradesh,Bhopal,Locality_75,Independent House,5,3974,197.71,4975.088072471062,Unfurnished,24,17,3,5,High,Yes,Yes,"Clubhouse, Gym, Pool",North,Owner,Ready_to_Move,1,31
28551,Uttarakhand,Haridwar,Locality_171,Independent House,3,2726,463.22,16992.663242846662,Furnished,18,26,7,5,Medium,Yes,No,"Pool, Clubhouse",East,Broker,Ready_to_Move,0,8
216960,Telangana,Hyderabad,Locality_378,Villa,2,2752,209.21,7602.107558139535,Unfurnished,21,17,6,1,Low,Yes,No,"Pool, Playground",East,Broker,Under_Construction,1,5
216877,Haryana,Faridabad,Locality_311,Villa,1,4124,332.36,8059.1658583899125,Unfurnished,17,29,5,2,Low,No,No,"Pool, Gym, Clubhouse",East,Owner,Ready_to_Move,1,18
54394,Madhya Pradesh,Bhopal,Locality_449,Villa,5,4234,12.37,292.1587151629665,Furnished,1,1,5,9,Medium,Yes,Yes,"Gym, Clubhouse, Pool",North,Owner,Ready_to_Move,1,21
178473,Karnataka,Mysore,Locality_23,Independent House,2,2327,381.93,16412.978083369144,Semi-furnished,1,15,9,9,High,No,No,"Gym, Clubhouse, Garden, Playground, Pool",South,Broker,Ready_to_Move,0,29
183645,Chhattisgarh,Raipur,Locality_413,Villa,2,4112,418.6,10179.961089494163,Semi-furnished,23,17,5,8,High,No,Yes,Gym,South,Builder,Under_Construction,0,13
63233,Gujarat,Surat,Locality_61,Independent House,2,1972,410.22,20802.231237322514,Unfurnished,18,12,7,5,Medium,Yes,No,Playground,North,Owner,Ready_to_Move,0,9
81836,Madhya Pradesh,Bhopal,Locality_350,Villa,1,3111,345.83,11116.361298617809,Unfurnished,22,11,2,3,High,No,No,"Gym, Garden, Playground, Pool, Clubhouse",North,Broker,Ready_to_Move,0,2
193987,Chhattisgarh,Raipur,Locality_304,Villa,3,4873,289.3,5936.794582392777,Semi-furnished,4,28,2,6,Medium,Yes,Yes,"Pool, Garden, Clubhouse",North,Owner,Under_Construction,1,25
182945,Assam,Silchar,Locality_478,Villa,1,3375,269.58,7987.555555555556,Furnished,24,8,9,8,High,Yes,No,"Playground, Pool, Gym, Clubhouse, Garden",East,Owner,Ready_to_Move,1,32
74820,Madhya Pradesh,Indore,Locality_62,Villa,5,3943,258.82,6564.037534871925,Furnished,20,20,10,7,Medium,No,Yes,"Pool, Playground",East,Broker,Ready_to_Move,1,27
84184,Delhi,Dwarka,Locality_247,Apartment,3,737,17.53,2378.561736770692,Unfurnished,9,6,3,1,Medium,Yes,No,"Garden, Gym, Clubhouse",East,Owner,Under_Construction,1,16
88964,Rajasthan,Jaipur,Locality_468,Apartment,1,3331,457.8,13743.620534374062,Semi-furnished,9,24,6,6,Medium,Yes,Yes,"Pool, Gym, Playground, Garden",South,Owner,Under_Construction,0,10
29362,Gujarat,Ahmedabad,Locality_262,Villa,3,4216,305.02,7234.819734345351,Furnished,7,20,4,4,High,No,No,"Clubhouse, Pool, Playground, Garden",North,Owner,Under_Construction,1,16
39947,West Bengal,Kolkata,Locality_248,Villa,4,4645,55.12,1186.6523143164693,Unfurnished,16,15,4,8,Medium,Yes,No,"Gym, Pool",East,Builder,Under_Construction,1,15
187373,Andhra Pradesh,Vijayawada,Locality_294,Independent House,2,3709,84.28,2272.3105958479373,Unfurnished,6,5,3,9,Low,Yes,Yes,Pool,North,Broker,Under_Construction,1,31
99952,Uttarakhand,Dehradun,Locality_273,Independent House,2,957,57.82,6041.797283176594,Unfurnished,4,2,9,2,Low,Yes,No,"Pool, Clubhouse, Gym, Playground",East,Builder,Ready_to_Move,1,20
159880,Delhi,Dwarka,Locality_172,Villa,1,3237,213.03,6581.093605189991,Semi-furnished,28,23,1,3,Medium,Yes,Yes,"Garden, Pool, Playground, Clubhouse",South,Builder,Under_Construction,1,16
201477,Gujarat,Ahmedabad,Locality_69,Villa,2,4146,305.53,7369.271587071876,Furnished,7,9,5,3,High,No,No,"Pool, Clubhouse",West,Broker,Under_Construction,1,11
158582,Karnataka,Mysore,Locality_443,Apartment,2,1006,179.43,17835.984095427437,Furnished,15,15,4,4,High,Yes,Yes,"Garden, Pool, Gym, Playground, Clubhouse",North,Builder,Under_Construction,0,26
186873,Chhattisgarh,Bilaspur,Locality_381,Villa,4,2982,430.96,14452.045606975184,Furnished,26,27,10,9,Medium,Yes,No,"Pool, Playground, Garden, Clubhouse, Gym",East,Broker,Ready_to_Move,0,23
228207,Madhya Pradesh,Indore,Locality_360,Independent House,2,4003,212.7,5313.5148638521105,Semi-furnished,22,15,3,10,High,No,No,"Clubhouse, Pool, Playground, Gym",North,Owner,Under_Construction,1,12
5763,Uttarakhand,Dehradun,Locality_280,Independent House,5,2460,140.06,5693.495934959349,Semi-furnished,28,27,6,4,High,Yes,No,"Garden, Pool, Gym, Playground, Clubhouse",East,Broker,Ready_to_Move,1,17
56866,Uttarakhand,Dehradun,Locality_369,Independent House,4,1120,319.87,28559.821428571428,Furnished,16,27,6,3,High,No,Yes,"Playground, Pool, Gym",North,Builder,Ready_to_Move,0,6
163334,Rajasthan,Jaipur,Locality_386,Apartment,3,3319,234.29,7059.053931907201,Furnished,5,11,5,3,Medium,Yes,No,"Clubhouse, Playground, Garden",South,Broker,Ready_to_Move,1,30
111017,Chhattisgarh,Bilaspur,Locality_303,Independent House,5,1082,282.11,26073.01293900185,Semi-furnished,13,15,6,1,Medium,Yes,No,"Garden, Playground",North,Builder,Under_Construction,0,4
150020,Jharkhand,Ranchi,Locality_240,Independent House,3,4287,100.38,2341.4975507347795,Furnished,1,6,9,9,Low,Yes,Yes,Gym,South,Builder,Ready_to_Move,1,3
48659,West Bengal,Kolkata,Locality_176,Apartment,1,4408,76.09,1726.179673321234,Furnished,22,30,7,7,Medium,No,No,"Pool, Gym, Garden",East,Broker,Under_Construction,1,11
130752,Andhra Pradesh,Vishakhapatnam,Locality_487,Independent House,4,4080,172.65,4231.617647058823,Furnished,29,7,5,8,Low,Yes,Yes,"Garden, Clubhouse, Gym",East,Broker,Under_Construction,1,4
89635,Uttar Pradesh,Lucknow,Locality_170,Independent House,1,4373,112.02,2561.6281728790304,Unfurnished,20,10,5,9,Low,No,No,"Clubhouse, Playground",West,Builder,Under_Construction,1,14
242575,Uttarakhand,Dehradun,Locality_312,Villa,3,4437,421.49,9499.436556231689,Unfurnished,17,9,5,2,Low,Yes,Yes,"Clubhouse, Garden",South,Owner,Ready_to_Move,1,3
193011,Odisha,Bhubaneswar,Locality_5,Villa,3,3457,165.72,4793.751807925947,Furnished,16,6,10,4,Low,Yes,No,"Garden, Playground, Clubhouse, Pool",East,Builder,Ready_to_Move,1,21
158851,Uttar Pradesh,Lucknow,Locality_283,Independent House,1,3111,100.36,3225.972356155577,Furnished,5,2,3,6,Low,No,No,"Gym, Clubhouse",South,Broker,Ready_to_Move,1,21
182789,Tamil Nadu,Chennai,Locality_246,Independent House,4,2263,167.81,7415.377817057004,Furnished,10,28,1,7,Medium,Yes,Yes,"Gym, Garden, Playground",South,Owner,Ready_to_Move,1,20
206103,Kerala,Trivandrum,Locality_409,Apartment,4,779,37.01,4750.962772785622,Furnished,0,9,8,6,Medium,No,Yes,Pool,East,Owner,Under_Construction,1,9
40816,Karnataka,Bangalore,Locality_127,Independent House,5,3598,34.64,962.7570872707059,Semi-furnished,5,29,4,2,Low,Yes,No,"Pool, Garden, Clubhouse",North,Builder,Ready_to_Move,1,26
248103,Bihar,Gaya,Locality_3,Independent House,5,2377,70.56,2968.44762305427,Semi-furnished,15,2,6,1,Medium,Yes,No,"Garden, Gym, Clubhouse, Playground, Pool",North,Broker,Ready_to_Move,1,13
43944,Jharkhand,Jamshedpur,Locality_374,Villa,5,3371,78.48,2328.092554138238,Unfurnished,30,7,6,10,Low,Yes,No,"Clubhouse, Garden, Gym, Pool",East,Owner,Under_Construction,1,35
4387,Odisha,Cuttack,Locality_412,Apartment,5,2655,462.32,17413.182674199623,Semi-furnished,21,8,9,1,Medium,No,No,"Pool, Garden",West,Builder,Ready_to_Move,0,21
98707,Rajasthan,Jodhpur,Locality_52,Apartment,5,4796,323.13,6737.489574645538,Furnished,12,14,2,2,Medium,Yes,No,"Pool, Garden, Playground, Clubhouse, Gym",East,Broker,Under_Construction,1,18
37636,Uttar Pradesh,Lucknow,Locality_343,Villa,3,2464,416.47,16902.19155844156,Semi-furnished,28,8,8,7,Low,Yes,No,"Clubhouse, Playground, Pool, Garden, Gym",East,Broker,Under_Construction,0,13
168839,Haryana,Gurgaon,Locality_202,Independent House,5,1145,14.9,1301.3100436681223,Furnished,4,19,3,4,High,No,No,"Playground, Gym, Clubhouse",South,Builder,Ready_to_Move,1,5
13374,Uttar Pradesh,Noida,Locality_364,Villa,5,1298,359.07,27663.328197226503,Semi-furnished,17,18,10,9,Low,Yes,Yes,Clubhouse,North,Owner,Ready_to_Move,0,20
96482,Maharashtra,Nagpur,Locality_172,Independent House,3,2909,50.89,1749.3984187005844,Unfurnished,14,27,4,8,High,No,Yes,"Playground, Garden, Pool, Clubhouse",North,Owner,Under_Construction,1,18
17887,Uttar Pradesh,Lucknow,Locality_393,Villa,2,3133,128.25,4093.5205872965207,Furnished,1,19,1,5,Low,No,No,"Pool, Clubhouse",South,Owner,Under_Construction,1,23
170081,West Bengal,Durgapur,Locality_349,Villa,2,2469,118.62,4804.374240583232,Unfurnished,9,6,9,10,High,No,Yes,"Playground, Clubhouse, Garden",North,Broker,Ready_to_Move,1,25
235255,Maharashtra,Pune,Locality_239,Apartment,3,1832,44.35,2420.8515283842794,Furnished,28,15,1,6,Low,Yes,No,"Gym, Clubhouse, Playground, Garden",South,Broker,Ready_to_Move,1,15
70827,Telangana,Hyderabad,Locality_96,Villa,5,4630,350.49,7569.978401727862,Semi-furnished,21,16,3,10,High,No,Yes,"Gym, Garden, Clubhouse, Playground, Pool",West,Broker,Ready_to_Move,1,13
111616,Delhi,New Delhi,Locality_127,Villa,3,3331,239.87,7201.140798558991,Unfurnished,29,8,1,8,Medium,No,No,"Pool, Clubhouse, Gym, Playground, Garden",North,Broker,Under_Construction,1,29
204587,Assam,Silchar,Locality_230,Independent House,2,4077,173.18,4247.731174883493,Furnished,6,27,3,10,Medium,No,No,Clubhouse,North,Broker,Under_Construction,1,26
175012,Maharashtra,Pune,Locality_184,Apartment,1,2472,31.94,1292.0711974110031,Furnished,3,5,1,1,Medium,Yes,Yes,"Clubhouse, Garden, Gym",South,Broker,Under_Construction,1,35
140012,Punjab,Ludhiana,Locality_235,Independent House,5,3992,46.33,1160.571142284569,Unfurnished,9,7,5,5,Medium,Yes,Yes,Garden,North,Broker,Ready_to_Move,1,2
120883,Tamil Nadu,Chennai,Locality_79,Villa,3,3755,287.83,7665.246338215712,Furnished,17,18,1,8,Low,Yes,No,"Gym, Pool, Garden, Clubhouse",North,Builder,Under_Construction,1,2
150026,Odisha,Bhubaneswar,Locality_428,Villa,5,2065,155.44,7527.360774818402,Unfurnished,12,5,5,9,Medium,No,Yes,Garden,North,Owner,Under_Construction,1,26
119356,Andhra Pradesh,Vishakhapatnam,Locality_450,Independent House,5,2575,17.63,684.6601941747573,Unfurnished,24,2,5,10,Medium,Yes,No,"Gym, Garden, Clubhouse, Playground, Pool",East,Builder,Under_Construction,1,2
143384,Delhi,New Delhi,Locality_252,Independent House,1,1816,303.61,16718.61233480176,Furnished,15,1,6,6,Medium,No,Yes,"Playground, Gym, Pool, Clubhouse",West,Builder,Ready_to_Move,0,7
49684,Uttarakhand,Dehradun,Locality_150,Independent House,4,2216,285.85,12899.368231046934,Unfurnished,26,21,3,6,Low,Yes,No,"Pool, Clubhouse, Playground",East,Builder,Ready_to_Move,0,27
240541,Bihar,Patna,Locality_93,Independent House,2,1894,327.86,17310.454065469905,Semi-furnished,7,26,1,2,High,Yes,Yes,"Gym, Garden, Playground, Clubhouse",West,Builder,Under_Construction,0,21
147975,Tamil Nadu,Coimbatore,Locality_61,Apartment,4,805,15.24,1893.167701863354,Semi-furnished,11,4,8,6,Low,No,No,"Clubhouse, Gym",North,Broker,Under_Construction,1,18
120427,Gujarat,Surat,Locality_154,Villa,4,3113,97.73,3139.4153549630582,Furnished,12,7,5,6,Medium,No,Yes,Playground,North,Broker,Ready_to_Move,1,12
205940,Punjab,Ludhiana,Locality_15,Villa,5,3311,158.66,4791.905768649955,Unfurnished,8,16,9,7,Medium,No,Yes,"Clubhouse, Pool, Playground, Garden, Gym",East,Builder,Under_Construction,1,6
159647,Maharashtra,Nagpur,Locality_466,Independent House,4,3257,451.24,13854.467301197421,Furnished,28,13,2,4,High,Yes,Yes,"Pool, Clubhouse, Gym, Garden, Playground",South,Broker,Ready_to_Move,0,20
144735,Madhya Pradesh,Bhopal,Locality_48,Apartment,2,707,216.21,30581.329561527582,Furnished,14,20,6,4,High,No,No,"Pool, Playground, Clubhouse, Garden, Gym",North,Owner,Ready_to_Move,0,25
79014,Kerala,Trivandrum,Locality_301,Independent House,2,2562,426.3,16639.344262295082,Furnished,17,16,5,4,High,Yes,No,"Pool, Playground",North,Broker,Under_Construction,0,3
65693,Kerala,Kochi,Locality_87,Villa,1,4331,249.61,5763.334102978527,Semi-furnished,14,21,6,4,High,No,No,"Gym, Garden, Pool",East,Owner,Ready_to_Move,1,24
59120,Bihar,Patna,Locality_362,Apartment,4,1193,253.72,21267.393126571667,Semi-furnished,23,30,2,2,Medium,Yes,Yes,"Garden, Gym",South,Broker,Under_Construction,0,11
85382,Uttarakhand,Dehradun,Locality_419,Independent House,1,2030,27.63,1361.0837438423646,Furnished,23,27,7,3,Medium,No,Yes,"Pool, Clubhouse, Garden, Playground, Gym",North,Broker,Under_Construction,1,10
43853,Tamil Nadu,Chennai,Locality_360,Apartment,3,1884,76.5,4060.5095541401274,Furnished,4,20,10,4,Medium,No,Yes,Gym,East,Broker,Under_Construction,1,17
2298,Punjab,Ludhiana,Locality_187,Independent House,3,3096,379.95,12272.286821705426,Unfurnished,26,3,1,9,Medium,Yes,Yes,"Clubhouse, Pool, Garden",West,Builder,Ready_to_Move,0,3
113306,Uttarakhand,Haridwar,Locality_216,Apartment,2,1674,64.01,3823.775388291518,Furnished,30,5,8,6,Medium,No,No,"Gym, Pool, Garden",South,Broker,Under_Construction,1,25
27181,Uttar Pradesh,Lucknow,Locality_210,Villa,2,4082,17.19,421.11709946104855,Furnished,15,10,1,8,Medium,Yes,No,"Clubhouse, Gym, Pool",South,Owner,Ready_to_Move,1,7
19606,Jharkhand,Ranchi,Locality_91,Independent House,3,2500,103.75,4150.0,Furnished,0,21,6,4,High,No,No,"Clubhouse, Playground, Garden, Gym",East,Builder,Under_Construction,1,19
136928,Delhi,New Delhi,Locality_314,Apartment,2,3781,398.77,10546.680772282465,Unfurnished,18,24,7,9,Medium,No,Yes,"Garden, Pool",East,Owner,Ready_to_Move,0,19
224456,Assam,Silchar,Locality_286,Independent House,5,4424,76.97,1739.8282097649187,Unfurnished,8,28,3,1,Medium,No,No,"Playground, Garden",West,Owner,Ready_to_Move,1,27
